"Type","Version","Link"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4770941"
"R","1.20.2","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4770940"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4756691"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4756690"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4711657"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4711654"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4627674"
"R","1.20.1","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4627672"
"R","1.20.1;1.20","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4573048"
"R","1.20.1;1.20","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4572400"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4568326"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4568325"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4477811"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4477810"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4477803"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4451005"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4451004"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4451002"
"R","1.19.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4451001"
"R","1.19.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4451000"
"R","1.19.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4450999"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4448098"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4448097"
"R","1.19.4","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4448096"
"R","1.19.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4448093"
"R","1.19.3","https://www.curseforge.com/minecraft/mc-mods/geckolib/download/4448092"
